,Engagements,Followers,Created,Type,Description,datetime,year,month,month_int,weekday,day_time,is_playoffs
17,427347,36955156,2019-05-20 23:27:54 EDT,Photo,@money23green notches the triple-double for the @warriors with 14/12/11 in the 4th! #TripleDoubleAlert,2019-05-20 23:27:54,2019,May,5,Monday,night,True
18,696779,36955156,2019-05-20 23:24:11 EDT,Video,@stephencurry30 dime & hesi in the 4th on ESPN! #NBAPlayoffs,2019-05-20 23:24:11,2019,May,5,Monday,night,True
19,569271,36955156,2019-05-20 23:22:01 EDT,Photo,@stephencurry30 notches the triple-double for the @warriors with 37/10/10 in the 4th! #TripleDoubleAlert,2019-05-20 23:22:01,2019,May,5,Monday,night,True
20,603391,36955156,2019-05-20 22:40:42 EDT,Video,@damianlillard uses his dribble into the @trailblazers triple!,2019-05-20 22:40:42,2019,May,5,Monday,night,True
21,603391,36955156,2019-05-20 22:33:01 EDT,Video,@meyersleonard11 puts up 25 in the first half for the @trailblazers on ESPN!,2019-05-20 22:33:01,2019,May,5,Monday,night,True
22,711819,36955156,2019-05-20 21:26:13 EDT,Video,@stephencurry30 tosses it up early on ESPN!,2019-05-20 21:26:13,2019,May,5,Monday,night,True
23,404760,36955156,2019-05-20 20:31:46 EDT,Photo,"@money23green arrives for Game 4 of the Western Conference Finals, preparing for action with his #PowerbeatsPro ??",2019-05-20 20:31:46,2019,May,5,Monday,evening,True
24,534517,36928789,2019-05-20 17:54:34 EDT,Video,In @budweiserusa #LegendaryMoments history.. we showcase Brandon Roy’s 18-point 4th qtr to overcome @trailblazers 23-point deficit in 2011! Who do you think will take Game 4... the @trailblazers or @warriors?,2019-05-20 17:54:34,2019,May,5,Monday,evening,True
25,590945,36928789,2019-05-20 12:05:19 EDT,Video,"@money23green showcases his ?? IQ on both ends of the floor! #NBABreakdown
...
??: @warriors x @trailblazers G4
?: 9:00pm/et ??: @nbaonespn",2019-05-20 12:05:19,2019,May,5,Monday,lunch,True
26,354472,36928789,2019-05-20 10:07:04 EDT,Photo,It’s WIN or Go Home for the @trailblazers... as the @warriors look to advance... 9:00pm/et @nbaonespn!,2019-05-20 10:07:04,2019,May,5,Monday,morning,True
27,412221,36928789,2019-05-20 00:45:16 EDT,Photo,The @raptors get on the board at home in the Eastern Conference Finals!,2019-05-20 00:45:16,2019,May,5,Monday,postgame,True
28,646075,36928789,2019-05-19 23:09:33 EDT,Video,Kawhi on tonight’s gritty @raptors 2OT win with @kristenledlow!,2019-05-19 23:09:33,2019,May,5,Sunday,night,True
29,708249,36928789,2019-05-19 22:49:10 EDT,Video,Kawhi Leonard scores 19 of his game-high 36 in the 4th & OT periods to power the @raptors in Game 3 of the ECF!,2019-05-19 22:49:10,2019,May,5,Sunday,night,True
30,708249,36928789,2019-05-19 22:40:02 EDT,Video,The @raptors take Game 3 of the Eastern Conference Finals in exciting fashion!,2019-05-19 22:40:02,2019,May,5,Sunday,night,True
31,366002,36928789,2019-05-19 22:19:18 EDT,Photo,The @raptors (1-2) defeat the @bucks 118-112 in double-OT at home in Game 3 of the Eastern Conference Finals! #NBAPlayoffs,2019-05-19 22:19:18,2019,May,5,Sunday,night,True
32,843345,36928789,2019-05-19 22:00:13 EDT,Video,?? KAWHI! ??,2019-05-19 22:00:13,2019,May,5,Sunday,night,True
33,589358,36928789,2019-05-19 21:34:15 EDT,Video,@k_mid22’s second chance sends @bucks/@raptors to OT on TNT!,2019-05-19 21:34:15,2019,May,5,Sunday,night,True
34,646075,36928789,2019-05-19 21:26:37 EDT,Video,?? @reggiemillertnt predicts the @fredvanvleet triple! ??,2019-05-19 21:26:37,2019,May,5,Sunday,night,True
35,443147,36928789,2019-05-19 20:43:48 EDT,Photo,Offense or Defense?,2019-05-19 20:43:48,2019,May,5,Sunday,evening,True
36,843345,36928789,2019-05-19 20:37:19 EDT,Video,???? Suction Cups! ????,2019-05-19 20:37:19,2019,May,5,Sunday,evening,True
37,686948,36928789,2019-05-19 20:35:58 EDT,Video,@pskills43 muscles his way through the lane in Game 3! #NBAPlayoffs (??: @nbaontnt),2019-05-19 20:35:58,2019,May,5,Sunday,evening,True
38,708249,36928789,2019-05-19 20:09:08 EDT,Video,Kawhi Leonard steps back the @raptors triple on TNT!,2019-05-19 20:09:08,2019,May,5,Sunday,evening,True
39,646086,36899744,2019-05-19 19:26:30 EDT,Video,@marcgasol droppin’ dimes early on TNT for the @raptors!,2019-05-19 19:26:30,2019,May,5,Sunday,evening,True
40,591423,36899744,2019-05-19 14:14:20 EDT,Video,"?? BROOK LOPEZ MIC’D UP! ??
...
??: @bucks x @raptors G3
?: 7pm/et ??: @nbaontnt",2019-05-19 14:14:20,2019,May,5,Sunday,afternoon,True
41,554182,36899744,2019-05-19 11:43:36 EDT,Video,Superstars on both sides... the Eastern Conference Finals between the @bucks & @raptors continues 7:00pm/et @nbaontnt!,2019-05-19 11:43:36,2019,May,5,Sunday,lunch,True
42,367570,36899744,2019-05-19 09:07:02 EDT,Photo,"The Eastern Conference Finals heads up to Toronto for Game 3, 7:00pm/et @nbaontnt!",2019-05-19 09:07:02,2019,May,5,Sunday,morning,True
43,436512,36899744,2019-05-19 01:24:21 EDT,Photo,The @warriors sit one win away from the #NBAFinals presented by @youtube TV with 3-0 Western Conference Finals lead.,2019-05-19 01:24:21,2019,May,5,Sunday,deadzone,True
44,815419,36899744,2019-05-19 00:14:11 EDT,Video,@stephencurry30 puts up 36 to lead the @warriors in Game 3 victory!,2019-05-19 00:14:11,2019,May,5,Sunday,postgame,True
45,436512,36899744,2019-05-19 00:09:18 EDT,Album,@money23green puts up 20p/13r/12a in the @warriors Game 3 victory!,2019-05-19 00:09:18,2019,May,5,Sunday,postgame,True
46,505848,36899744,2019-05-18 23:57:36 EDT,Photo,The @warriors take 3-0 Western Conference Finals lead with 110-99 victory in Portland!,2019-05-18 23:57:36,2019,May,5,Saturday,postgame,True
47,762187,36899744,2019-05-18 23:36:51 EDT,Video,@stephencurry30 with the shake & triple!,2019-05-18 23:36:51,2019,May,5,Saturday,postgame,True
48,775600,36899744,2019-05-18 23:31:49 EDT,Video,@money23green powers his pregame warmup with the #PowerbeatsPro ?? for a big performance in Portland!,2019-05-18 23:31:49,2019,May,5,Saturday,postgame,True
49,459715,36899744,2019-05-18 23:18:46 EDT,Photo,@money23green secures his 3rd triple-double of the 2019 #NBAPlayoffs for the @warriors with 18/11/11 through three quarters! #TripleDoubleAlert,2019-05-18 23:18:46,2019,May,5,Saturday,night,True
50,810406,36899744,2019-05-18 22:53:22 EDT,Video,"@stephencurry30 from deep, plus the foul! #NBAPlayoffs (??: ESPN)",2019-05-18 22:53:22,2019,May,5,Saturday,night,True
51,686960,36899744,2019-05-18 22:43:48 EDT,Video,@meyersleonard11 gets the @trailblazers crowd UP! #NBAPlayoffs (??: ESPN),2019-05-18 22:43:48,2019,May,5,Saturday,night,True
52,626655,36899744,2019-05-18 22:06:19 EDT,Video,@zachcollins_33 finds @eneskanter11 in the paint for the @trailblazers! #NBAPlayoffs (??: ESPN),2019-05-18 22:06:19,2019,May,5,Saturday,night,True
53,747095,36872342,2019-05-18 17:08:09 EDT,Video,"The @warriors & @trailblazers get to their spots for three! #NBABreakdown
...
??: WCF Game 3
?: 9:00pm/et
??: ESPN",2019-05-18 17:08:09,2019,May,5,Saturday,evening,True
54,577007,36872342,2019-05-18 14:34:20 EDT,Video,"In @budweiserusa #LegendaryMoments history.. we showcase Rick Barry’s 55-point performance in Game 3 of the 1967 #NBAFinals for the @warriors! ...Who do you have in Game 3, @warriors or @trailblazers?",2019-05-18 14:34:20,2019,May,5,Saturday,afternoon,True
55,359722,36872342,2019-05-18 11:11:13 EDT,Album,"From playing in the @nbagleague to facing his brother in the Western Conference Finals, it’s been QUITE the journey for @sdotcurry!",2019-05-18 11:11:13,2019,May,5,Saturday,lunch,True
56,435542,36872342,2019-05-18 09:32:22 EDT,Photo,"The Western Conference Finals heads up to Portland for Game 3, 9:00pm/et on ESPN!",2019-05-18 09:32:22,2019,May,5,Saturday,morning,True
57,470061,36872342,2019-05-18 00:00:20 EDT,Photo,The @bucks join the @warriors with 2-0 Conference leads! #NBAPlayoffs,2019-05-18 00:00:20,2019,May,5,Saturday,postgame,True
58,603424,36872342,2019-05-17 23:17:31 EDT,Video,@giannis_an34 powers the @bucks to 2-0 ECF lead with 30 points & 17 boards!,2019-05-17 23:17:31,2019,May,5,Friday,night,True
59,647517,36872342,2019-05-17 22:47:20 EDT,Video,@giannis_an34 muscles into the lane for the and-one! #NBAPlayoffs,2019-05-17 22:47:20,2019,May,5,Friday,night,True
60,661494,36872342,2019-05-17 20:57:25 EDT,Video,@giannis_an34 STRETCHES for the SLAM on TNT!,2019-05-17 20:57:25,2019,May,5,Friday,evening,True
61,661494,36872342,2019-05-17 20:43:18 EDT,Video,@giannis_an34 with the SLAM & SWAT to open Game 2 of the Eastern Conference Finals on TNT!,2019-05-17 20:43:18,2019,May,5,Friday,evening,True
62,465482,36846041,2019-05-17 20:14:22 EDT,Album,?????? Presenting the finalists for the six awards that honor the top performers from the 2018-19 regular season at the 2019 #NBAAwards (9:00pm/et June 24th @nbaontnt)!,2019-05-17 20:14:22,2019,May,5,Friday,evening,True
63,608357,36846041,2019-05-17 19:28:37 EDT,Video,"Ahead of Game 2 of the Eastern Conference Finals (8:30pm/et @nbaontnt), we flash back to Kawhi at the #NBACombine (repost @nbahistory)!",2019-05-17 19:28:37,2019,May,5,Friday,evening,True
64,507998,36846041,2019-05-17 17:13:20 EDT,Video,"?? @giannis_an34’s clutch 4th Q in Game 1 of the ECF! #NBABreakdown
...
??: @raptors/@bucks G2
?: 8:30pm/et
??: @nbaontnt",2019-05-17 17:13:20,2019,May,5,Friday,evening,True
65,471492,36846041,2019-05-17 14:22:35 EDT,Video,"Our peeps @spiceadams, @tristanj22, @jesser & @iamkrislondon of the #NBAPlaymakers test their skills at the #NBACombine powered by Under Armour! ....coverage continues 3:00pm/et ESPN2",2019-05-17 14:22:35,2019,May,5,Friday,afternoon,True
66,297294,36846041,2019-05-17 10:29:53 EDT,Photo,"Will the @raptors even the ECF up 1-1, or will the @bucks go up 2-0... 8:30pm/et @nbaontnt!",2019-05-17 10:29:53,2019,May,5,Friday,morning,True
67,470368,36846041,2019-05-17 01:48:20 EDT,Photo,The @warriors take 2-0 series lead in the Western Conference Finals!,2019-05-17 01:48:20,2019,May,5,Friday,deadzone,True
68,608834,36846041,2019-05-17 01:04:29 EDT,Video,@andre with the big defensive stop for the @warriors! #PhantomCam,2019-05-17 01:04:29,2019,May,5,Friday,deadzone,True
69,775812,36846041,2019-05-17 00:09:42 EDT,Video,The @warriors close out on 14-3 run to win Game 2 of the Western Conference Finals!,2019-05-17 00:09:42,2019,May,5,Friday,postgame,True
70,652240,36846041,2019-05-17 00:04:49 EDT,Video,“We’ll have the film clip at home...” @stephencurry30 on playing his brother @sdotcurry! #NBAPlayoffs,2019-05-17 00:04:49,2019,May,5,Friday,postgame,True
71,427470,36846041,2019-05-17 00:00:58 EDT,Photo,The @warriors take 2-0 WCF lead over @trailblazers with 114-111 home W!,2019-05-17 00:00:58,2019,May,5,Friday,postgame,True
72,675140,36846041,2019-05-16 23:44:41 EDT,Video,@andre’s defense seals the @warriors Game 2 victory! #NBAPlayoffs,2019-05-16 23:44:41,2019,May,5,Thursday,postgame,True
73,538831,36846041,2019-05-16 23:37:16 EDT,Video,@sdotcurry triple & @money23green to @flyght5 lob late in Game 2! #NBAPlayoffs,2019-05-16 23:37:16,2019,May,5,Thursday,postgame,True
74,661506,36846041,2019-05-16 23:21:12 EDT,Video,What a play by @damianlillard!!,2019-05-16 23:21:12,2019,May,5,Thursday,night,True
75,597919,36846041,2019-05-16 23:14:55 EDT,Video,@damianlillard finds the cutting @meyersleonard11 for the @trailblazers ?? on ESPN!,2019-05-16 23:14:55,2019,May,5,Thursday,night,True
76,647529,36846041,2019-05-16 22:44:58 EDT,Video,The @trailblazers sink franchise #NBAPlayoffs high for a half with 11 made threes in the first-half on ESPN!,2019-05-16 22:44:58,2019,May,5,Thursday,night,True
77,655460,36846041,2019-05-16 21:57:39 EDT,Video,@jonasjerebko gets flashy to @jbell! (??: ESPN),2019-05-16 21:57:39,2019,May,5,Thursday,night,True
78,689726,36817926,2019-05-16 19:28:43 EDT,Video,The @warriors & @trailblazers arrive for Game 2 of the Western Conference Finals on ESPN!,2019-05-16 19:28:43,2019,May,5,Thursday,evening,True
79,420467,36817926,2019-05-16 18:31:23 EDT,Album,?? Only 2 weeks left until the #NBAFinals presented by @youtube TV!,2019-05-16 18:31:23,2019,May,5,Thursday,evening,True
80,580642,36817926,2019-05-16 14:59:18 EDT,Video,"@money23green tosses it to @andre! #NBABreakdown
...
??: @trailblazers/@warriors G2
?: 9:00pm/et
??: ESPN",2019-05-16 14:59:18,2019,May,5,Thursday,afternoon,True
81,674842,36817926,2019-05-16 12:27:36 EDT,Video,"Before the #NBACombine powered by Under Armour gets underway (3:00pm/et ESPN2), we throw it back to @stephencurry30 in 2009!",2019-05-16 12:27:36,2019,May,5,Thursday,lunch,True
82,368291,36817926,2019-05-16 10:35:59 EDT,Photo,"Will the @trailblazers even the WCF up 1-1, or will the @warriors go up 2-0... 9:00pm/et @nbaonespn!",2019-05-16 10:35:59,2019,May,5,Thursday,morning,True
83,454003,36817926,2019-05-16 00:32:21 EDT,Photo,The @bucks join @warriors with 1-0 Conference Finals lead! #NBAPlayoffs,2019-05-16 00:32:21,2019,May,5,Thursday,postgame,True
84,661518,36817926,2019-05-15 23:17:15 EDT,Video,Brook Lopez puts up 29 points & adds 4 blocks in the @bucks ECF Game 1 W!,2019-05-15 23:17:15,2019,May,5,Wednesday,night,True
85,350706,36817926,2019-05-15 23:03:06 EDT,Photo,The @bucks take 1-0 ECF series lead over @raptors with 108-100 victory at home! #NBAPlayoffs,2019-05-15 23:03:06,2019,May,5,Wednesday,night,True
86,661518,36817926,2019-05-15 23:00:48 EDT,Video,Brook Lopez with the BIG SLAM & TRIPLE late for the @bucks!,2019-05-15 23:00:48,2019,May,5,Wednesday,night,True
87,661518,36817926,2019-05-15 21:58:40 EDT,Video,@thebledshow with a pair of TOUGH finishes on TNT!,2019-05-15 21:58:40,2019,May,5,Wednesday,night,True
88,725178,36817926,2019-05-15 21:54:08 EDT,Video,Shooter’s touch!,2019-05-15 21:54:08,2019,May,5,Wednesday,night,True
89,569098,36817926,2019-05-15 21:43:49 EDT,Video,@pskills43 on the attack! #PhantomCam,2019-05-15 21:43:49,2019,May,5,Wednesday,night,True
90,661518,36817926,2019-05-15 21:39:46 EDT,Video,The @raptors find Kawhi in the lane to close the half on TNT!,2019-05-15 21:39:46,2019,May,5,Wednesday,night,True
91,597930,36817926,2019-05-15 21:01:57 EDT,Video,@pskills43 RISES UP for the @raptors! (??: @nbaontnt),2019-05-15 21:01:57,2019,May,5,Wednesday,night,True
92,647540,36817926,2019-05-15 20:45:49 EDT,Video,@giannis_an34 is out running early on TNT! #NBAPlayoffs,2019-05-15 20:45:49,2019,May,5,Wednesday,evening,True
93,675423,36784913,2019-05-15 18:41:22 EDT,Video,We check in with the #MtnDew3PT leaders of the Conference Semis!,2019-05-15 18:41:22,2019,May,5,Wednesday,evening,True
94,390471,36784913,2019-05-15 18:05:44 EDT,Photo,"During the Eastern Conference Semifinals, Kawhi Leonard scored the 3rd-most total points in a series since 1977! ... ??: ECF GAME 1 ?: 8:30pm/et ??: @nbaontnt",2019-05-15 18:05:44,2019,May,5,Wednesday,evening,True
95,680212,36784913,2019-05-15 17:05:18 EDT,Video,"The #NBABreakdown stats on Kawhi’s incredible #TissotBuzzerBeater! #ThisIsYourTime ...
??: ECF GAME 1
?: 8:30pm/et
??: @nbaontnt",2019-05-15 17:05:18,2019,May,5,Wednesday,evening,True
96,304208,36784913,2019-05-15 15:05:30 EDT,Photo,Larry Bird & @magicjohnson will be co-recipients of the Lifetime Achievement Award at the 2019 #NBAAwards presented by Kia (9:00pm/et 6/24 @nbaontnt)!,2019-05-15 15:05:30,2019,May,5,Wednesday,afternoon,True
97,463910,36784913,2019-05-15 13:18:17 EDT,Video,"Both selected 15th overall, Kawhi Leonard & @giannis_an34 headline the @raptors/@bucks Eastern Conference Finals (8:30pm/et @nbaontnt)!",2019-05-15 13:18:17,2019,May,5,Wednesday,afternoon,True
98,290887,36784913,2019-05-15 11:22:44 EDT,Photo,The Eastern Conference Finals between the @raptors & @bucks tips off TONIGHT... 8:30pm/et @nbaontnt!,2019-05-15 11:22:44,2019,May,5,Wednesday,lunch,True
99,460231,36784913,2019-05-15 00:52:35 EDT,Photo,The @warriors open up the Western Conference Finals with a home victory for 1-0 series lead!,2019-05-15 00:52:35,2019,May,5,Wednesday,postgame,True
100,433009,36784913,2019-05-14 23:44:44 EDT,Photo,The @warriors take 1-0 WCF series lead over @trailblazers with 116-94 victory at home! #NBAPlayoffs,2019-05-14 23:44:44,2019,May,5,Tuesday,postgame,True
101,773272,36784913,2019-05-14 23:18:53 EDT,Video,@stephencurry30 goes high off the glass to his family’s delight! (??: ESPN),2019-05-14 23:18:53,2019,May,5,Tuesday,night,True
102,711896,36784913,2019-05-14 22:54:46 EDT,Video,@stephencurry30 steps into his 8th triple of the night on ESPN!,2019-05-14 22:54:46,2019,May,5,Tuesday,night,True
103,711896,36784913,2019-05-14 22:26:35 EDT,Video,@stephencurry30 puts up back-to-back triples to end the half on ESPN!,2019-05-14 22:26:35,2019,May,5,Tuesday,night,True
104,668994,36784913,2019-05-14 21:54:56 EDT,Video,@andre finds @jonasjerebko in transition for the @warriors! #NBAPlayoffs (??: ESPN),2019-05-14 21:54:56,2019,May,5,Tuesday,night,True
105,449479,36784913,2019-05-14 21:28:45 EDT,Photo,Dell & Sonya Curry arrive for tonight’s Western Conference Finals opener!,2019-05-14 21:28:45,2019,May,5,Tuesday,night,True
106,590706,36784913,2019-05-14 21:19:22 EDT,Video,@damianlillard steps back early for the @trailblazers on ESPN! #NBAPlayoffs,2019-05-14 21:19:22,2019,May,5,Tuesday,night,True
107,449479,36784913,2019-05-14 21:09:37 EDT,Photo,The 2019 #NBADraftLottery order is set.,2019-05-14 21:09:37,2019,May,5,Tuesday,night,True
108,666938,36756045,2019-05-14 19:35:11 EDT,Video,@meyersleonard11 in the “Bright Citron” Nike LeBron 16 HFR! #NBAKicks,2019-05-14 19:35:11,2019,May,5,Tuesday,evening,True
109,675435,36756045,2019-05-14 14:17:01 EDT,Video,Who had your fave ASSIST from the Western Conference Semis? #StateFarmAssists,2019-05-14 14:17:01,2019,May,5,Tuesday,afternoon,True
110,375610,36756045,2019-05-14 12:32:02 EDT,Photo,The Western Conference Finals between the @trailblazers & @warriors tips off TONIGHT... 9:00pm/et on ESPN!,2019-05-14 12:32:02,2019,May,5,Tuesday,lunch,True
111,410237,36756045,2019-05-14 09:30:57 EDT,Photo,Watch the 2019 #NBADraftLottery Presented by State Farm tonight on ESPN at 8:30pm/et.,2019-05-14 09:30:57,2019,May,5,Tuesday,morning,True
112,426732,36756045,2019-05-13 21:18:34 EDT,Album,"For the first time in @nbahistory, brothers will meet in the Conference Finals as @stephencurry30 & the @warriors face @sdotcurry & the @trailblazers!",2019-05-13 21:18:34,2019,May,5,Monday,night,True
113,602840,36716811,2019-05-13 19:01:12 EDT,Video,Kenny Wooten (@kenny) shows off his athleticism and gets up to 150.5 inches at the Max Jump! ?? #EliteCamp @oregonmbb (repost @nbagleague),2019-05-13 19:01:12,2019,May,5,Monday,evening,True
114,384270,36716811,2019-05-13 12:58:02 EDT,Photo,Four remain in the 2019 #NBAPlayoffs!,2019-05-13 12:58:02,2019,May,5,Monday,lunch,True
115,297205,36716811,2019-05-13 09:31:40 EDT,Album,?? all the angles of Kawhi Leonard’s incredible #TissotBuzzerBeater for the @raptors win! #ThisIsYourTime,2019-05-13 09:31:40,2019,May,5,Monday,morning,True
116,352101,36716811,2019-05-12 23:54:02 EDT,Photo,The @warriors @trailblazers @bucks & @raptors advance to the Conference Finals!,2019-05-12 23:54:02,2019,May,5,Sunday,postgame,True
117,789225,36716811,2019-05-12 22:02:48 EDT,Video,The friendly bounce up North! #TissotBuzzerBeater #ThisIsYourTime,2019-05-12 22:02:48,2019,May,5,Sunday,night,True
118,365493,36716811,2019-05-12 21:51:49 EDT,Photo,The @raptors defeat the @sixers 92-90 in GAME 7 to advance to the Eastern Conference Finals!,2019-05-12 21:51:49,2019,May,5,Sunday,night,True
119,719941,36716811,2019-05-12 21:39:27 EDT,Video,Kawhi gets the friendly bounce with the #TissotBuzzerBeater for the @raptors win to advance to the ECF! #ThisIsYourTime,2019-05-12 21:39:27,2019,May,5,Sunday,night,True
120,402171,36716811,2019-05-12 21:37:02 EDT,Photo,The @raptors advance to the Eastern Conference Finals!,2019-05-12 21:37:02,2019,May,5,Sunday,night,True
121,640251,36716811,2019-05-12 20:37:26 EDT,Video,@bensimmons spins to set up @joelembiid! (??: @nbaontnt),2019-05-12 20:37:26,2019,May,5,Sunday,evening,True
122,668021,36716811,2019-05-12 20:33:01 EDT,Video,Poetry in Motion! #PhantomCam,2019-05-12 20:33:01,2019,May,5,Sunday,evening,True
123,769422,36686842,2019-05-12 20:09:36 EDT,Video,"Kawhi goes up on the right, finishes under the left!! (??: @nbaontnt)",2019-05-12 20:09:36,2019,May,5,Sunday,evening,True
124,693385,36686842,2019-05-12 19:48:08 EDT,Video,Kawhi with the STEAL & SLAM for the @raptors on TNT! #NBAPlayoffs,2019-05-12 19:48:08,2019,May,5,Sunday,evening,True
125,646168,36686842,2019-05-12 19:25:41 EDT,Video,@3jmccollum puts up 37 to lead the @trailblazers in road GAME 7 victory to advance to the WCF!,2019-05-12 19:25:41,2019,May,5,Sunday,evening,True
126,365421,36686842,2019-05-12 19:06:29 EDT,Photo,The @trailblazers defeat the @nuggets 100-96 in GAME 7 to advance to the Western Conference Finals!,2019-05-12 19:06:29,2019,May,5,Sunday,evening,True
127,654401,36686842,2019-05-12 18:39:52 EDT,Video,The best action down the stretch as the @trailblazers win GAME 7 on the road to advance to the WCF!,2019-05-12 18:39:52,2019,May,5,Sunday,evening,True
128,654401,36686842,2019-05-12 18:37:41 EDT,Video,@damianlillard with a Mother’s Day hug for mom following the GAME 7 WIN!,2019-05-12 18:37:41,2019,May,5,Sunday,evening,True
129,402092,36686842,2019-05-12 18:13:58 EDT,Photo,The @trailblazers advance to the Western Conference Finals! #NBAPlayoffs,2019-05-12 18:13:58,2019,May,5,Sunday,evening,True
130,633797,36686842,2019-05-12 18:02:23 EDT,Video,@3jmccollum hustles back for the CHASEDOWN! #NBAonABC,2019-05-12 18:02:23,2019,May,5,Sunday,evening,True
131,591498,36686842,2019-05-12 17:36:19 EDT,Video,?? how the @sixers & @raptors got to GAME 7 (7:00pm/et @nbaontnt)!,2019-05-12 17:36:19,2019,May,5,Sunday,evening,True
132,633797,36686842,2019-05-12 17:24:39 EDT,Video,"@thats_g_ gets it to fall, plus the foul! #NBAonABC",2019-05-12 17:24:39,2019,May,5,Sunday,evening,True
133,578158,36686842,2019-05-12 16:28:13 EDT,Video,@jmglitxh27 hangs for the @nuggets finish in GAME 7! #NBAonABC,2019-05-12 16:28:13,2019,May,5,Sunday,afternoon,True
134,288127,36686842,2019-05-12 14:14:45 EDT,Photo,The @sixers & @raptors each look to advance to the Eastern Conference Finals with a GAME 7 WIN... 7:00pm/et @nbaontnt!,2019-05-12 14:14:45,2019,May,5,Sunday,afternoon,True
135,639194,36686842,2019-05-12 12:53:52 EDT,Video,?? how the @trailblazers & @nuggets got to GAME 7 (3:30pm/et #NBAonABC)!,2019-05-12 12:53:52,2019,May,5,Sunday,lunch,True
136,333581,36686842,2019-05-12 11:40:34 EDT,Photo,The @trailblazers & @nuggets each look to advance to the Western Conference Finals with a GAME 7 WIN... 3:30pm/et #NBAonABC!,2019-05-12 11:40:34,2019,May,5,Sunday,lunch,True
137,793110,36686842,2019-05-12 10:33:06 EDT,Video,?? HAPPY MOTHER’S DAY! ??,2019-05-12 10:33:06,2019,May,5,Sunday,morning,True
138,403891,36686842,2019-05-12 07:57:27 EDT,Photo,It’s GAME 7 SUNDAY!,2019-05-12 07:57:27,2019,May,5,Sunday,morning,True
