"","Engagements","Followers","Created","Type","Description","datetime","year","month","month_int","weekday","day_time","is_playoffs","clean_words","season_yr","is_season","is_finals","Followers_Mentioned","all_nba","league_type","same_day_post","num_ats","num_hash","Type_num","wkdy_num","day_time_num"
"18",427347,36955156,"2019-05-20 23:27:54 EDT","Photo","@money23green notches the triple-double for the @warriors with 14/12/11 in the 4th! #TripleDoubleAlert","2019-05-20 23:27:54",2019,"May",5,"Monday","night","True","money23green notches triple double warriors 14 12 11 4th tripledoublealert",2019,"True","False",12100000,1,1,1,2,1,2,2,6
"19",696779,36955156,"2019-05-20 23:24:11 EDT","Video","@stephencurry30 dime & hesi in the 4th on ESPN! #NBAPlayoffs","2019-05-20 23:24:11",2019,"May",5,"Monday","night","True","stephencurry30 dime hesi 4th espn nbaplayoffs",2019,"True","False",0,2,1,1,1,1,1,2,6
"20",569271,36955156,"2019-05-20 23:22:01 EDT","Photo","@stephencurry30 notches the triple-double for the @warriors with 37/10/10 in the 4th! #TripleDoubleAlert","2019-05-20 23:22:01",2019,"May",5,"Monday","night","True","stephencurry30 notches triple double warriors 37 10 10 4th tripledoublealert",2019,"True","False",12100000,2,1,1,2,1,2,2,6
"21",603391,36955156,"2019-05-20 22:40:42 EDT","Video","@damianlillard uses his dribble into the @trailblazers triple!","2019-05-20 22:40:42",2019,"May",5,"Monday","night","True","damianlillard uses dribble trailblazers triple",2019,"True","False",1400000,1,1,1,2,0,1,2,6
"22",603391,36955156,"2019-05-20 22:33:01 EDT","Video","@meyersleonard11 puts up 25 in the first half for the @trailblazers on ESPN!","2019-05-20 22:33:01",2019,"May",5,"Monday","night","True","meyersleonard11 puts 25 first half trailblazers espn",2019,"True","False",1400000,0,1,1,2,0,1,2,6
"23",711819,36955156,"2019-05-20 21:26:13 EDT","Video","@stephencurry30 tosses it up early on ESPN!","2019-05-20 21:26:13",2019,"May",5,"Monday","night","True","stephencurry30 tosses early espn",2019,"True","False",0,2,1,0,1,0,1,2,6
"24",404760,36955156,"2019-05-20 20:31:46 EDT","Photo","@money23green arrives for Game 4 of the Western Conference Finals, preparing for action with his #PowerbeatsPro ??","2019-05-20 20:31:46",2019,"May",5,"Monday","evening","True","money23green arrives game 4 western conference finals preparing action powerbeatspro",2019,"True","False",0,1,1,0,1,1,2,2,5
"25",534517,36928789,"2019-05-20 17:54:34 EDT","Video","In @budweiserusa #LegendaryMoments history.. we showcase Brandon Royâ€™s 18-point 4th qtr to overcome @trailblazers 23-point deficit in 2011! Who do you think will take Game 4... the @trailblazers or @warriors?","2019-05-20 17:54:34",2019,"May",5,"Monday","evening","True","budweiserusa legendarymoments history showcase brandon royâ 18 point 4th qtr overcome trailblazers 23 point deficit 2011 think take game 4 trailblazers warriors",2019,"True","False",13500000,0,1,0,4,1,1,2,5
"26",590945,36928789,"2019-05-20 12:05:19 EDT","Video","@money23green showcases his ?? IQ on both ends of the floor! #NBABreakdown
...
??: @warriors x @trailblazers G4
?: 9:00pm/et ??: @nbaonespn","2019-05-20 12:05:19",2019,"May",5,"Monday","lunch","True","money23green showcases iq ends floor nbabreakdown warriors x trailblazers g4 9 00pm et nbaonespn",2019,"True","False",13500000,1,1,0,4,1,1,2,3
"27",354472,36928789,"2019-05-20 10:07:04 EDT","Photo","Itâ€™s WIN or Go Home for the @trailblazers... as the @warriors look to advance... 9:00pm/et @nbaonespn!","2019-05-20 10:07:04",2019,"May",5,"Monday","morning","True","itâ win go home trailblazers warriors look advance 9 00pm et nbaonespn",2019,"True","False",13500000,0,1,0,3,0,2,2,2
"28",412221,36928789,"2019-05-20 00:45:16 EDT","Photo","The @raptors get on the board at home in the Eastern Conference Finals!","2019-05-20 00:45:16",2019,"May",5,"Monday","postgame","True","raptors get board home eastern conference finals",2019,"True","False",2400000,0,1,0,1,0,2,2,7
"29",646075,36928789,"2019-05-19 23:09:33 EDT","Video","Kawhi on tonightâ€™s gritty @raptors 2OT win with @kristenledlow!","2019-05-19 23:09:33",2019,"May",5,"Sunday","night","True","kawhi tonightâ gritty raptors 2ot win kristenledlow",2019,"True","False",2400000,1,1,0,2,0,1,1,6
"30",708249,36928789,"2019-05-19 22:49:10 EDT","Video","Kawhi Leonard scores 19 of his game-high 36 in the 4th & OT periods to power the @raptors in Game 3 of the ECF!","2019-05-19 22:49:10",2019,"May",5,"Sunday","night","True","kawhi leonard scores 19 game high 36 4th ot periods power raptors game 3 ecf",2019,"True","False",2400000,1,1,1,1,0,1,1,6
"31",708249,36928789,"2019-05-19 22:40:02 EDT","Video","The @raptors take Game 3 of the Eastern Conference Finals in exciting fashion!","2019-05-19 22:40:02",2019,"May",5,"Sunday","night","True","raptors take game 3 eastern conference finals exciting fashion",2019,"True","False",2400000,0,1,1,1,0,1,1,6
"32",366002,36928789,"2019-05-19 22:19:18 EDT","Photo","The @raptors (1-2) defeat the @bucks 118-112 in double-OT at home in Game 3 of the Eastern Conference Finals! #NBAPlayoffs","2019-05-19 22:19:18",2019,"May",5,"Sunday","night","True","raptors 1 2 defeat bucks 118 112 double ot home game 3 eastern conference finals nbaplayoffs",2019,"True","False",4200000,0,1,1,2,1,2,1,6
"33",843345,36928789,"2019-05-19 22:00:13 EDT","Video","?? KAWHI! ??","2019-05-19 22:00:13",2019,"May",5,"Sunday","night","True","kawhi",2019,"True","False",0,1,1,1,0,0,1,1,6
"34",589358,36928789,"2019-05-19 21:34:15 EDT","Video","@k_mid22â€™s second chance sends @bucks/@raptors to OT on TNT!","2019-05-19 21:34:15",2019,"May",5,"Sunday","night","True","k_mid22â second chance sends bucks raptors ot tnt",2019,"True","False",4200000,1,1,1,3,0,1,1,6
"35",646075,36928789,"2019-05-19 21:26:37 EDT","Video","?? @reggiemillertnt predicts the @fredvanvleet triple! ??","2019-05-19 21:26:37",2019,"May",5,"Sunday","night","True","reggiemillertnt predicts fredvanvleet triple",2019,"True","False",0,0,1,1,2,0,1,1,6
"36",443147,36928789,"2019-05-19 20:43:48 EDT","Photo","Offense or Defense?","2019-05-19 20:43:48",2019,"May",5,"Sunday","evening","True","offense defense",2019,"True","False",0,0,1,1,0,0,2,1,5
"37",843345,36928789,"2019-05-19 20:37:19 EDT","Video","???? Suction Cups! ????","2019-05-19 20:37:19",2019,"May",5,"Sunday","evening","True","suction cups",2019,"True","False",0,0,1,1,0,0,1,1,5
"38",686948,36928789,"2019-05-19 20:35:58 EDT","Video","@pskills43 muscles his way through the lane in Game 3! #NBAPlayoffs (??: @nbaontnt)","2019-05-19 20:35:58",2019,"May",5,"Sunday","evening","True","pskills43 muscles way lane game 3 nbaplayoffs nbaontnt",2019,"True","False",0,0,1,1,2,1,1,1,5
"39",708249,36928789,"2019-05-19 20:09:08 EDT","Video","Kawhi Leonard steps back the @raptors triple on TNT!","2019-05-19 20:09:08",2019,"May",5,"Sunday","evening","True","kawhi leonard steps back raptors triple tnt",2019,"True","False",2400000,1,1,1,1,0,1,1,5
"40",646086,36899744,"2019-05-19 19:26:30 EDT","Video","@marcgasol droppinâ€™ dimes early on TNT for the @raptors!","2019-05-19 19:26:30",2019,"May",5,"Sunday","evening","True","marcgasol droppinâ dimes early tnt raptors",2019,"True","False",2400000,0,1,0,2,0,1,1,5
"41",591423,36899744,"2019-05-19 14:14:20 EDT","Video","?? BROOK LOPEZ MICâ€™D UP! ??
...
??: @bucks x @raptors G3
?: 7pm/et ??: @nbaontnt","2019-05-19 14:14:20",2019,"May",5,"Sunday","afternoon","True","brook lopez micâ bucks x raptors g3 7pm et nbaontnt",2019,"True","False",4200000,0,1,0,3,0,1,1,4
"42",554182,36899744,"2019-05-19 11:43:36 EDT","Video","Superstars on both sides... the Eastern Conference Finals between the @bucks & @raptors continues 7:00pm/et @nbaontnt!","2019-05-19 11:43:36",2019,"May",5,"Sunday","lunch","True","superstars sides eastern conference finals bucks raptors continues 7 00pm et nbaontnt",2019,"True","False",4200000,0,1,0,3,0,1,1,3
"43",367570,36899744,"2019-05-19 09:07:02 EDT","Photo","The Eastern Conference Finals heads up to Toronto for Game 3, 7:00pm/et @nbaontnt!","2019-05-19 09:07:02",2019,"May",5,"Sunday","morning","True","eastern conference finals heads toronto game 3 7 00pm et nbaontnt",2019,"True","False",2400000,0,1,0,1,0,2,1,2
"44",436512,36899744,"2019-05-19 01:24:21 EDT","Photo","The @warriors sit one win away from the #NBAFinals presented by @youtube TV with 3-0 Western Conference Finals lead.","2019-05-19 01:24:21",2019,"May",5,"Sunday","deadzone","True","warriors sit one win away nbafinals presented youtube tv 3 0 western conference finals lead",2019,"True","False",12100000,0,1,0,2,1,2,1,1
"45",815419,36899744,"2019-05-19 00:14:11 EDT","Video","@stephencurry30 puts up 36 to lead the @warriors in Game 3 victory!","2019-05-19 00:14:11",2019,"May",5,"Sunday","postgame","True","stephencurry30 puts 36 lead warriors game 3 victory",2019,"True","False",12100000,2,1,1,2,0,1,1,7
"46",436512,36899744,"2019-05-19 00:09:18 EDT","Album","@money23green puts up 20p/13r/12a in the @warriors Game 3 victory!","2019-05-19 00:09:18",2019,"May",5,"Sunday","postgame","True","money23green puts 20p 13r 12a warriors game 3 victory",2019,"True","False",12100000,1,1,1,2,0,3,1,7
"47",505848,36899744,"2019-05-18 23:57:36 EDT","Photo","The @warriors take 3-0 Western Conference Finals lead with 110-99 victory in Portland!","2019-05-18 23:57:36",2019,"May",5,"Saturday","postgame","True","warriors take 3 0 western conference finals lead 110 99 victory portland",2019,"True","False",13500000,0,1,1,1,0,2,7,7
"48",762187,36899744,"2019-05-18 23:36:51 EDT","Video","@stephencurry30 with the shake & triple!","2019-05-18 23:36:51",2019,"May",5,"Saturday","postgame","True","stephencurry30 shake triple",2019,"True","False",0,2,1,1,1,0,1,7,7
"49",775600,36899744,"2019-05-18 23:31:49 EDT","Video","@money23green powers his pregame warmup with the #PowerbeatsPro ?? for a big performance in Portland!","2019-05-18 23:31:49",2019,"May",5,"Saturday","postgame","True","money23green powers pregame warmup powerbeatspro big performance portland",2019,"True","False",1400000,1,1,1,1,1,1,7,7
"50",459715,36899744,"2019-05-18 23:18:46 EDT","Photo","@money23green secures his 3rd triple-double of the 2019 #NBAPlayoffs for the @warriors with 18/11/11 through three quarters! #TripleDoubleAlert","2019-05-18 23:18:46",2019,"May",5,"Saturday","night","True","money23green secures 3rd triple double 2019 nbaplayoffs warriors 18 11 11 three quarters tripledoublealert",2019,"True","False",12100000,1,1,0,2,2,2,7,6
"51",810406,36899744,"2019-05-18 22:53:22 EDT","Video","@stephencurry30 from deep, plus the foul! #NBAPlayoffs (??: ESPN)","2019-05-18 22:53:22",2019,"May",5,"Saturday","night","True","stephencurry30 deep plus foul nbaplayoffs espn",2019,"True","False",0,2,1,1,1,1,1,7,6
"52",686960,36899744,"2019-05-18 22:43:48 EDT","Video","@meyersleonard11 gets the @trailblazers crowd UP! #NBAPlayoffs (??: ESPN)","2019-05-18 22:43:48",2019,"May",5,"Saturday","night","True","meyersleonard11 gets trailblazers crowd nbaplayoffs espn",2019,"True","False",1400000,0,1,1,2,1,1,7,6
"53",626655,36899744,"2019-05-18 22:06:19 EDT","Video","@zachcollins_33 finds @eneskanter11 in the paint for the @trailblazers! #NBAPlayoffs (??: ESPN)","2019-05-18 22:06:19",2019,"May",5,"Saturday","night","True","zachcollins_33 finds eneskanter11 paint trailblazers nbaplayoffs espn",2019,"True","False",1400000,0,1,1,3,1,1,7,6
"54",747095,36872342,"2019-05-18 17:08:09 EDT","Video","The @warriors & @trailblazers get to their spots for three! #NBABreakdown
...
??: WCF Game 3
?: 9:00pm/et
??: ESPN","2019-05-18 17:08:09",2019,"May",5,"Saturday","evening","True","warriors trailblazers get spots three nbabreakdown wcf game 3 9 00pm et espn",2019,"True","False",13500000,0,1,0,2,1,1,7,5
"55",577007,36872342,"2019-05-18 14:34:20 EDT","Video","In @budweiserusa #LegendaryMoments history.. we showcase Rick Barryâ€™s 55-point performance in Game 3 of the 1967 #NBAFinals for the @warriors! ...Who do you have in Game 3, @warriors or @trailblazers?","2019-05-18 14:34:20",2019,"May",5,"Saturday","afternoon","True","budweiserusa legendarymoments history showcase rick barryâ 55 point performance game 3 1967 nbafinals warriors game 3 warriors trailblazers",2019,"True","False",13500000,0,1,0,4,2,1,7,4
"56",359722,36872342,"2019-05-18 11:11:13 EDT","Album","From playing in the @nbagleague to facing his brother in the Western Conference Finals, itâ€™s been QUITE the journey for @sdotcurry!","2019-05-18 11:11:13",2019,"May",5,"Saturday","lunch","True","playing nbagleague facing brother western conference finals itâ quite journey sdotcurry",2019,"True","False",0,2,1,0,2,0,3,7,3
"57",435542,36872342,"2019-05-18 09:32:22 EDT","Photo","The Western Conference Finals heads up to Portland for Game 3, 9:00pm/et on ESPN!","2019-05-18 09:32:22",2019,"May",5,"Saturday","morning","True","western conference finals heads portland game 3 9 00pm et espn",2019,"True","False",1400000,0,1,0,0,0,2,7,2
"58",470061,36872342,"2019-05-18 00:00:20 EDT","Photo","The @bucks join the @warriors with 2-0 Conference leads! #NBAPlayoffs","2019-05-18 00:00:20",2019,"May",5,"Saturday","postgame","True","bucks join warriors 2 0 conference leads nbaplayoffs",2019,"True","False",13900000,0,1,0,2,1,2,7,7
"59",603424,36872342,"2019-05-17 23:17:31 EDT","Video","@giannis_an34 powers the @bucks to 2-0 ECF lead with 30 points & 17 boards!","2019-05-17 23:17:31",2019,"May",5,"Friday","night","True","giannis_an34 powers bucks 2 0 ecf lead 30 points 17 boards",2019,"True","False",1800000,1,1,0,2,0,1,6,6
"60",647517,36872342,"2019-05-17 22:47:20 EDT","Video","@giannis_an34 muscles into the lane for the and-one! #NBAPlayoffs","2019-05-17 22:47:20",2019,"May",5,"Friday","night","True","giannis_an34 muscles lane one nbaplayoffs",2019,"True","False",0,1,1,0,1,1,1,6,6
"61",661494,36872342,"2019-05-17 20:57:25 EDT","Video","@giannis_an34 STRETCHES for the SLAM on TNT!","2019-05-17 20:57:25",2019,"May",5,"Friday","evening","True","giannis_an34 stretches slam tnt",2019,"True","False",0,1,1,1,1,0,1,6,5
"62",661494,36872342,"2019-05-17 20:43:18 EDT","Video","@giannis_an34 with the SLAM & SWAT to open Game 2 of the Eastern Conference Finals on TNT!","2019-05-17 20:43:18",2019,"May",5,"Friday","evening","True","giannis_an34 slam swat open game 2 eastern conference finals tnt",2019,"True","False",0,1,1,1,1,0,1,6,5
"63",465482,36846041,"2019-05-17 20:14:22 EDT","Album","?????? Presenting the finalists for the six awards that honor the top performers from the 2018-19 regular season at the 2019 #NBAAwards (9:00pm/et June 24th @nbaontnt)!","2019-05-17 20:14:22",2019,"May",5,"Friday","evening","True","presenting finalists six awards honor top performers 2018 19 regular season 2019 nbaawards 9 00pm et june 24th nbaontnt",2019,"True","False",0,0,1,1,1,1,3,6,5
"64",608357,36846041,"2019-05-17 19:28:37 EDT","Video","Ahead of Game 2 of the Eastern Conference Finals (8:30pm/et @nbaontnt), we flash back to Kawhi at the #NBACombine (repost @nbahistory)!","2019-05-17 19:28:37",2019,"May",5,"Friday","evening","True","ahead game 2 eastern conference finals 8 30pm et nbaontnt flash back kawhi nbacombine repost nbahistory",2019,"True","False",0,1,1,0,2,1,1,6,5
"65",507998,36846041,"2019-05-17 17:13:20 EDT","Video","?? @giannis_an34â€™s clutch 4th Q in Game 1 of the ECF! #NBABreakdown
...
??: @raptors/@bucks G2
?: 8:30pm/et
??: @nbaontnt","2019-05-17 17:13:20",2019,"May",5,"Friday","evening","True","giannis_an34â clutch 4th q game 1 ecf nbabreakdown raptors bucks g2 8 30pm et nbaontnt",2019,"True","False",4200000,1,1,0,4,1,1,6,5
"66",471492,36846041,"2019-05-17 14:22:35 EDT","Video","Our peeps @spiceadams, @tristanj22, @jesser & @iamkrislondon of the #NBAPlaymakers test their skills at the #NBACombine powered by Under Armour! ....coverage continues 3:00pm/et ESPN2","2019-05-17 14:22:35",2019,"May",5,"Friday","afternoon","True","peeps spiceadams tristanj22 jesser iamkrislondon nbaplaymakers test skills nbacombine powered armour coverage continues 3 00pm et espn2",2019,"True","False",0,0,1,0,4,2,1,6,4
"67",297294,36846041,"2019-05-17 10:29:53 EDT","Photo","Will the @raptors even the ECF up 1-1, or will the @bucks go up 2-0... 8:30pm/et @nbaontnt!","2019-05-17 10:29:53",2019,"May",5,"Friday","morning","True","raptors even ecf 1 1 bucks go 2 0 8 30pm et nbaontnt",2019,"True","False",4200000,0,1,0,3,0,2,6,2
"68",470368,36846041,"2019-05-17 01:48:20 EDT","Photo","The @warriors take 2-0 series lead in the Western Conference Finals!","2019-05-17 01:48:20",2019,"May",5,"Friday","deadzone","True","warriors take 2 0 series lead western conference finals",2019,"True","False",12100000,0,1,1,1,0,2,6,1
"69",608834,36846041,"2019-05-17 01:04:29 EDT","Video","@andre with the big defensive stop for the @warriors! #PhantomCam","2019-05-17 01:04:29",2019,"May",5,"Friday","deadzone","True","andre big defensive stop warriors phantomcam",2019,"True","False",12100000,0,1,1,2,1,1,6,1
"70",775812,36846041,"2019-05-17 00:09:42 EDT","Video","The @warriors close out on 14-3 run to win Game 2 of the Western Conference Finals!","2019-05-17 00:09:42",2019,"May",5,"Friday","postgame","True","warriors close 14 3 run win game 2 western conference finals",2019,"True","False",12100000,0,1,1,1,0,1,6,7
"71",652240,36846041,"2019-05-17 00:04:49 EDT","Video","â€œWeâ€™ll have the film clip at home...â€ @stephencurry30 on playing his brother @sdotcurry! #NBAPlayoffs","2019-05-17 00:04:49",2019,"May",5,"Friday","postgame","True","â œweâ film clip home â stephencurry30 playing brother sdotcurry nbaplayoffs",2019,"True","False",0,2,1,1,2,1,1,6,7
"72",427470,36846041,"2019-05-17 00:00:58 EDT","Photo","The @warriors take 2-0 WCF lead over @trailblazers with 114-111 home W!","2019-05-17 00:00:58",2019,"May",5,"Friday","postgame","True","warriors take 2 0 wcf lead trailblazers 114 111 home w",2019,"True","False",13500000,0,1,1,2,0,2,6,7
"73",675140,36846041,"2019-05-16 23:44:41 EDT","Video","@andreâ€™s defense seals the @warriors Game 2 victory! #NBAPlayoffs","2019-05-16 23:44:41",2019,"May",5,"Thursday","postgame","True","andreâ defense seals warriors game 2 victory nbaplayoffs",2019,"True","False",12100000,0,1,1,2,1,1,5,7
"74",538831,36846041,"2019-05-16 23:37:16 EDT","Video","@sdotcurry triple & @money23green to @flyght5 lob late in Game 2! #NBAPlayoffs","2019-05-16 23:37:16",2019,"May",5,"Thursday","postgame","True","sdotcurry triple money23green flyght5 lob late game 2 nbaplayoffs",2019,"True","False",0,1,1,1,3,1,1,5,7
"75",661506,36846041,"2019-05-16 23:21:12 EDT","Video","What a play by @damianlillard!!","2019-05-16 23:21:12",2019,"May",5,"Thursday","night","True","play damianlillard",2019,"True","False",0,1,1,1,1,0,1,5,6
"76",597919,36846041,"2019-05-16 23:14:55 EDT","Video","@damianlillard finds the cutting @meyersleonard11 for the @trailblazers ?? on ESPN!","2019-05-16 23:14:55",2019,"May",5,"Thursday","night","True","damianlillard finds cutting meyersleonard11 trailblazers espn",2019,"True","False",1400000,1,1,1,3,0,1,5,6
"77",647529,36846041,"2019-05-16 22:44:58 EDT","Video","The @trailblazers sink franchise #NBAPlayoffs high for a half with 11 made threes in the first-half on ESPN!","2019-05-16 22:44:58",2019,"May",5,"Thursday","night","True","trailblazers sink franchise nbaplayoffs high half 11 made threes first half espn",2019,"True","False",1400000,0,1,0,1,1,1,5,6
"78",655460,36846041,"2019-05-16 21:57:39 EDT","Video","@jonasjerebko gets flashy to @jbell! (??: ESPN)","2019-05-16 21:57:39",2019,"May",5,"Thursday","night","True","jonasjerebko gets flashy jbell espn",2019,"True","False",0,0,1,0,2,0,1,5,6
"79",689726,36817926,"2019-05-16 19:28:43 EDT","Video","The @warriors & @trailblazers arrive for Game 2 of the Western Conference Finals on ESPN!","2019-05-16 19:28:43",2019,"May",5,"Thursday","evening","True","warriors trailblazers arrive game 2 western conference finals espn",2019,"True","False",13500000,0,1,0,2,0,1,5,5
"80",420467,36817926,"2019-05-16 18:31:23 EDT","Album","?? Only 2 weeks left until the #NBAFinals presented by @youtube TV!","2019-05-16 18:31:23",2019,"May",5,"Thursday","evening","True","2 weeks left nbafinals presented youtube tv",2019,"True","False",0,0,1,0,1,1,3,5,5
"81",580642,36817926,"2019-05-16 14:59:18 EDT","Video","@money23green tosses it to @andre! #NBABreakdown
...
??: @trailblazers/@warriors G2
?: 9:00pm/et
??: ESPN","2019-05-16 14:59:18",2019,"May",5,"Thursday","afternoon","True","money23green tosses andre nbabreakdown trailblazers warriors g2 9 00pm et espn",2019,"True","False",13500000,1,1,0,4,1,1,5,4
"82",674842,36817926,"2019-05-16 12:27:36 EDT","Video","Before the #NBACombine powered by Under Armour gets underway (3:00pm/et ESPN2), we throw it back to @stephencurry30 in 2009!","2019-05-16 12:27:36",2019,"May",5,"Thursday","lunch","True","nbacombine powered armour gets underway 3 00pm et espn2 throw back stephencurry30 2009",2019,"True","False",0,2,1,0,1,1,1,5,3
"83",368291,36817926,"2019-05-16 10:35:59 EDT","Photo","Will the @trailblazers even the WCF up 1-1, or will the @warriors go up 2-0... 9:00pm/et @nbaonespn!","2019-05-16 10:35:59",2019,"May",5,"Thursday","morning","True","trailblazers even wcf 1 1 warriors go 2 0 9 00pm et nbaonespn",2019,"True","False",13500000,0,1,0,3,0,2,5,2
"84",454003,36817926,"2019-05-16 00:32:21 EDT","Photo","The @bucks join @warriors with 1-0 Conference Finals lead! #NBAPlayoffs","2019-05-16 00:32:21",2019,"May",5,"Thursday","postgame","True","bucks join warriors 1 0 conference finals lead nbaplayoffs",2019,"True","False",13900000,0,1,0,2,1,2,5,7
"85",661518,36817926,"2019-05-15 23:17:15 EDT","Video","Brook Lopez puts up 29 points & adds 4 blocks in the @bucks ECF Game 1 W!","2019-05-15 23:17:15",2019,"May",5,"Wednesday","night","True","brook lopez puts 29 points adds 4 blocks bucks ecf game 1 w",2019,"True","False",1800000,0,1,1,1,0,1,4,6
"86",350706,36817926,"2019-05-15 23:03:06 EDT","Photo","The @bucks take 1-0 ECF series lead over @raptors with 108-100 victory at home! #NBAPlayoffs","2019-05-15 23:03:06",2019,"May",5,"Wednesday","night","True","bucks take 1 0 ecf series lead raptors 108 100 victory home nbaplayoffs",2019,"True","False",4200000,0,1,1,2,1,2,4,6
